Title,description,authors,publishedDate,categories,ratingsCount
The Hardest 30 Days of Your Life,"CHANGE YOUR LIFE IN 30 DAYS takes you on a thirty-day journey that will help you make extraordinary changes in your life. Rhonda focuses on breaking the myths that keep you locked in fear and unable to be true to yourself. With her trademark sensitivity and humour, insight and advice, Rhonda helps define life goals and outline the steps needed to reach these goals. For anyone who has ever wanted a fresh start or tried to make major life changes and failed, the answer lies within this book.",['Rhonda Britten'],2011-06-23,['Self-Help'],
River Jordan,"As the site of several miracles in the Jewish and Christian traditions, the Jordan is one of the world’s holiest rivers. It is also the major political and symbolic border contested by Israelis and Palestinians. Combining biblical and folkloric studies with historical geography, Rachel Havrelock explores how the complex religious and mythological representations of the river have shaped the current conflict in the Middle East. Havrelock contends that the intractability of the Israeli-Palestinian conflict stems from the nationalist myths of the Hebrew Bible, where the Jordan is defined as a border of the Promised Land. Both Israelis and Palestinians claim the Jordan as a necessary boundary of an indivisible homeland. Examining the Hebrew Bible alongside ancient and modern maps of the Jordan, Havrelock chronicles the evolution of Israel’s borders based on nationalist myths while uncovering additional myths that envision Israel as a bi-national state. These other myths, she proposes, provide roadmaps for future political configurations of the nation. Ambitious and masterful in its scope, River Jordan brings a fresh, provocative perspective to the ongoing struggle in this violence-riddled region.",['Rachel Havrelock'],2011-10-27,['Religion'],
"Neptune, the 12th House and Pisces","Explore the meanings and lessons of Neptune, the 12th house, and Pisces in astrology. This comprehensive volume provides impeccable clarity and guidance on this compelling subject.",['Maurice Fernandez'],2018-05-17,,
Abraham Lincoln: A biography (A Modern Library Giant #G64),A definitive work covering the entire life of the Civil War President,['Benjamin P. Thomas'],1979-04,['Juvenile Nonfiction'],
The Parables of Peanuts,"First published in 1968, this contemporary case for vigorous Christian faith –– profusely illustrated by Charles Schulz‘s delightful peanuts cartoon strips –– sheds more light on the Christian faith and how it is to be lived than many more ""serious"" theological works, with hundreds of cartoons featuring your favorite peanuts characters Charlie Brown, Lucy, Linus, And of course, Snoopy (including the earliest red baron strips). This book‘s wise observations are as timeless as they are timely. ""Short . . .succeeds in making theology enjoyable."" ––Christian Century "". . . a real delight from beginning to end. I could not possibly be more pleased."" ––Charles Schulz, creator of Peanuts",['Robert L. Short'],2002-02-19,['Religion'],2.0
Love Potion #9 (Magical Love Series),"In the backcountry of North Carolina in 1927, 13-year-old Harriet, motherless since birth and rejected by Joshua, her father, and ignored by Ida, her jealous stepmother, has no expectations that she will ever be loved. When she encounters Spider, a man of deception, whose own childhood experiences are despicable, she is like a dirt dauber's nest with the dirt still wet, not yet secure in its foundation, its edges raw, unpolished and easily uprooted. She has never before met a man who calls himself Spider, but she knows spiders -the many legged kind. She knows how they weave webs to trap unsuspecting victims. But she believes Spider offers her the love no one else has, and her need is like that of someone in a dry desert with parched lips. His entrapment of her and the consequences she endures come long before a conjure woman, a painter, an old Indian man and a host of other unlikely characters change her expectations.",['Gerri Brooks'],2005-01-25,['Fiction'],
The Further Adventures of Halley's Comet (Norton Paperback),,['John Calvin Batchelor'],1986,['Fiction'],
The soul of man under socialism (The Humboldt library of science),"This book contains a collection of poignant essays on the subject of socialism, anarchism and art.","['Oscar Wilde', 'William Morris', 'W. C. Owen']",1892,['Socialism'],
The Quest for Corvo,"One day in 1925 a friend asked A. J. A. Symons if he had read Fr. Rolfe's Hadrian the Seventh. He hadn't, but soon did, and found himself entranced by the novel -- ""a masterpiece""-- and no less fascinated by the mysterious person of its all-but-forgotten creator. The Quest for Corvo is a hilarious and heartbreaking portrait of the strange Frederick Rolfe, self-appointed Baron Corvo, an artist, writer, and frustrated aspirant to the priesthood with a bottomless talent for self-destruction. But this singular work, subtitled ""an experiment in biography,"" is also a remarkable self-portrait, a study of the obsession and sympathy that inspires the biographer's art.",['A.J.A. Symons'],2001-03-31,['Biography & Autobiography'],5.0
Arlene Sardine,"So, you want to be a sardine? Once there was a fish named Arlene, who wanted to be a sardine. She wanted to be a sardine just like the silvery, salty fish that you see in those little tins at the grocery store. With the bold brushstrokes of his vibrant illustrations, Chris Raschka follows Arlene’s journey from a fjord to a big net to a briny bath aboard a fishing boat. And he reveals just how to get packed like a sardine! This fixed-layout ebook, which preserves the design and layout of the original print book, features read-along narration.",['Chris Raschka'],2013-03-19,['Juvenile Fiction'],19.0
The Reengineering Revolution: a handbook,In Reengineering the Corporation Michael Hammer introduced to reengineering success. He and his colleague Steven Stanton offer practical guidance on the principles of reengineering. The book contains case studies and examples and takes the mystery out of reengineering.,"['Michael Hammer', 'Steven A. Stanton']",1995,['Industrial management'],
Unabridged Christianity: Biblical Answers to Common Questions About the Roman Catholic Faith,"This book is an attempt by Fr. Romero to share some of the scriptural and historical ""evidence"" that the contemporary Roman Catholic Church and the Apostolic Church founded by Jesus Christ circa 30 A. D. are one and the same. Using some of the commonly-heard misconceptions about the Catholic Faith as points of departure, Fr. Romero examines various key passages from Scripture, looks at historical documentation found in secular sources and, at the end of each chapter, presents quotes from the writings of the first generations of Christians to show that modern-day Catholic beliefs and practices have solid precedence in the beliefs and practices of the early Church.",['Mario P. Romero'],1999,['Religion'],
The Team That Couldn'T Lose,"A young, inexperienced football team discovers its beginner's luck is due to a series of mysterious but successful plays anonymously sent to the coach.",['Matt Christopher'],2009,['Football stories'],
Ogden Nash: The Life and Work of America's Laureate of Light Verse,"Looks at the life, career, and writings of the American poet.","['Douglas M. Parker', 'Dana Gioia']",2005,['Biography & Autobiography'],1.0
"How to Be a Great Communicator: In Person, on Paper, and on the Podium",,['Nido R. Qubein'],1997,,
70 Years of Miracles,,['Richard H. Harvey'],1977,['Clergy'],
Power of An Hour: Business and Life Mastery in One Hour A Week,"Praise for The Power of an Hour ""The master at getting what you want from others now tells us how to get what we want from ourselves! This is really a great book, and I recommend it highly-for you, for your team, and for your children."" -Bob Burg, author, Endless Referrals ""If you want to make predictable, systematic change in your life or your business, buy this book. Each chapter is a stand-alone system that results in powerful change . . . fast."" -David Hancock, The Entrepreneurial Publisher, CEO, Morgan James Publishing ""Dave's methods helped me take my business from $0 to $10 million in sales.If you're a creative business owner who wants total focus and massive success, run, don't walk, and get this book!"" -Stephanie Frank, author, The Accidental Millionaire ""The Power of an Hour is a mighty powerful way to sort out your financesby first sorting out yourself!"" -Mark Joyner, #1 bestselling author, The Irresistible Offer ""The disease of the twenty-first century, no matter who you are or what you do,is Time Deficit Disorder. Dave Lakhani offers a brilliant solution in this book.Get it and take the cure-you'll be surprised how much better you feel!"" -David Garfinkel, author, Customers on Demand",['Dave Lakhani'],2010-12-03,['Business & Economics'],2.0
Skirt and the Fiddle,"Tossing aside his musical career and heterosexuality after a discouraging gig, violinist Charlie, along with sodden anarchist Tinsel, raises money illegally by killing sewer rats, before falling for the bewitching Louise.",['Tristan Egolf'],2002,['Fiction'],1.0
Statistical Modeling for Biomedical Researchers: A Simple Introduction to the Analysis of Complex Data,A second edition of the easy-to-use standard text guiding biomedical researchers in the use of advanced statistical methods.,"['William D. Dupont', 'William Dudley Dupont']",2009-02-12,['Medical'],
101 Defensive Line Drills,"Consists of 101 proven drills designed to develop the basic skills attendant to defensive line play. The book covers drills on agility, tackling, run-play, pass-rush and movement.",['Mark Snyder'],1999-02-03,['Sports & Recreation'],
Slave Girl of Gor,"Taken as a possession, Judy Thornton, an Earth resident, is found meandering in the wilderness of the Earth-like planet of Gor. In keeping with the culture of the Goreans, she is trained and used as a slave. What her masters don't know is that Judy is more than just beautiful chattel. She has the power to obliterate Gor and all that is related to it. Determined to seize control of her, priest-kings and Kur-Monster enter combat, unaware of the fact that the fate of Gor rests in the hands of the ethereal Judy. Rediscover this brilliantly imagined world where men are masters and women live to serve their every desire.",['John Norman'],2014-05,['Fiction'],
Three Year Picnic: An American Woman's Life Inside Japanese Prison Camps in the Philippines During WWII,,['Evelyn Whitfield'],1999,['History'],
By the Light of the Moon,"A scientific thriller finds three traveling companions--itinerant artist Dylan O'Conner, his autistic younger brother Shepherd, and Jillian Jackson, a young stand-up comic--on the run, just one step ahead of deadly pursuers, as they race against time to uncover the meaning of an attack by a mysterious doctor and the injection that now appears to have vicious consequences.",['Dean R. Koontz'],2012,['Fiction'],24.0
John Coltrane's Giant Steps (Richard Jackson Books),"You may be surprised at the tricky music a box, a snowflake, some raindrops, and a kitten can make. Right before your eyes. And on the pages of this book. There is someone backstage watching, encouraging our performers but keeping them under control. Why not listen along?",['Chris Raschka'],2002-07-01,['Juvenile Nonfiction'],2.0
Why the North won the Civil War (Collier Books),"Focusing on the political, military, economic, social, and diplomatic reasons behind the Union victory, this collection presents the most complete picture of this key aspect of Civil War studies. In an essay new to this edition, Henry Steele Commager offers a historiographical overview of the collapse of the Confederacy. Richard N. Current describes the economic superiority of the North and shows how the civilian resources of the South were dissipated during the war. T. Harry Williams examines the deficiencies of the Southern military strategy and leadership. Norman A. Graebner discusses the reluctance of France and England to aid the South. David Herbert Donald, in his own essay, reports that excessive Southern emphasis on individual freedom fatally undermined military discipline. And David M. Potter suggests that a lack of political leadership in the South resulted in gross incompetence. And exclusively for this edition, the editor has written a new foreword and completely updated the bibliography to create the most comprehensive and enlightening guide to understanding this fascinating issue.",['Richard Nelson Current'],1962,['History'],
Embedded Media Processing (Embedded Technology),"In the past, embedded engineers needed to utilize a combination of traditional microcontrollers and DSP's (digital signal processors) in order to produce optimal designs for use in multimedia applications. However, this multiprocessor design technique is tough to implement, because it requires the engineer to write twice the code. Further, the designs resulting from such a marriage are limited because two processors cost more, take up more physical space, require more memory, and use up more power than just one would. And so a new kind of processor, the EMP (embedded media processor), was born! An embedded media processor combines the best aspects of a traditional microncontroller and a DSP for use in a multimedia product. As the demand grows for smaller, faster, multifunction, portable embedded products, such as video-enabled cellphones and pda's that play music or games, EMP's become more popular. As a result, an increasing number of engineers need to migrate from using multiprocessor methods to using EMP's in their designs. This book is the one-stop shop for the many engineers who need to understand what embedded media processors can do, and how to implement them. KEY FEATURES: comprehensive subject coverage with emphasis on practical application essential assembly language code included throughout many real-world examples using Analog's popular Blackfin Processor architecture This book provides information that engineers cannot get anywhere else. The discussion of EMP's is general enough to assure that engineers using any EMP, not just the Blackfin, will benefit from it. The book's in-depth analysis will allow engineers to decrease product development times and increase robust design for applications in multimedia. For about $50, the engineer is equipped by the experts and empowered to succeed.","['David J. Katz', 'Rick Gentile']",2005,['Technology & Engineering'],3.0
"... Eothen,","Eothen is the earliest work of Alexander William Kinglake, best known as the historian of the Crimean War. It is an account of a tour—or rather of selected adventures which occurred during a tour—undertaken in the Levant in 1834, but was not published until ten years later. The biographical notices of the are somewhat meagre, as by his dying directions all his papers were destroyed. He was born near Taunton in 1809, and educated at Eton and Trinity College, Cambridge, at which latter he is said to have been the friend of Thackeray and Tennyson. On leaving college he started on his Oriental tour with Lord Pollington (the Methley of Eothen), and on returning to England was called to the Bar at Lincoln’s Inn, and obtained a lucrative practice. But the life was too tame to suit his taste. In 1845 he visited Algeria, and went through a campaign with the flying column of St. Arnaud; and in 1854 went to the Crimea with Lord Raglan, and was present at the battle of Alma. On returning to England he decided to go into politics, and was elected for Bridgewater in 1857 in the Liberal interest. He seems to have been a poor speaker, and to have exercised little parliamentary influence; but we are told that in 1859 he was strongly opposed to the Conspiracy Bill, which was introduced after Orsini’s attempt to murder Napoleon III., and that in 1860 he denounced the cession of Nice and Savoy to France. In both cases he was apparently actuated by his personal dislike of Napoleon, which is evident in his historical works. In 1868 he was again returned for Bridgewater, but unseated on petition, for bribery. One might have supposed that he had acquired this habit in the East, but his biographers assert that he knew nothing of the irregularities which were committed by his agents. But the chief business of his later life was the composition of the History of the War in the Crimea, of which the first two volumes appeared in 1863, and the seventh and eighth (completing the work) in 1887. He died in 1891.",['Alexander William Kinglake'],2020-09-28,['Middle East'],2.0
Drive Time: Spanish (CD): Learn Spanish While You Drive (All-Audio Courses),Pick up the essentials of the Spanish language with this easy-to-use program.,['Paul Noble'],2010-09-01,['Spanish language'],
Overcome Fears and Anxiety Auto-matically (While-U Drive),"Feel Confident - End Your Stress, Anxiety, and Low Self-Esteem! 3rd edition No matter how much time you spend on your work, there's no escaping the fact that you have to put some effort into your personal life. Have you ever come home after a long day at work wishing you could do away with all of your stress and anxiety? This amazing book teaches you: What Your Thoughts are All About How to Control Your Thoughts Making a Safe Place for Your Mind How to Observe Others Methods for Recognizing and Fixing Your Self-Confidence Problems How to Identify Your Good Points Ways to Enjoy Healthy Self-Indulgence How to Improve Your Breathing Ways to Give Your Body and Mind a Break Methods for Handling Panic You'll even discover helpful exercises in confidence, positivity, and relaxation to put this valuable knowledge into practice in your daily life.",['James Seals'],2016-01-02,,
"The Complete Peanuts, 1959- 1960 (The Complete Peanuts: The Fifties)","Peanuts is the most popular comic strip in the history of the world. Its characters - Charlie Brown, Snoopy, Lucy, Linus, Schroeder, and so many more - have become dearly loved icons for generation after generation. Now Charles Schulz's classic, Peanuts, will be reprinted in its entirety for the first time. In these beautifully produced editions, the strip will be presented in full in chronological order. They will be the ultimate books for Peanuts' fans the world over. These first volumes will be of particular fascination to Peanuts aficionados. Many of the strips from the series' first two or three years have never been collected before, in large part because they showed a young Schulz working out the kinks in his new strip. They include some characterizations and designs that are quite different from the cast we all know, including Snoopy's debut as a puppy!",['Charles M. Schulz'],2007,['Comics & Graphic Novels'],8.0
"Five Years, Four Fronts: The War Years of Georg Grossjohann","A superb wartime memoir of a professional German soldier who rose from sergeant to major during World War II, which combines stark recollections of combat and candid portraits of superiors, peers, and subordinates on four fronts across Europe.",['Georg Grossjohann'],2005-01-01,['History'],
"Blood Angels: Deus Encarmine (Warhammer 40,000)","Retreating following an ignominious defeat, the Space Marines are given reinforcements from a new army led by the legendary primarch, Sanguinius, a fierce warrior who has supposedly been dead for centuries. Original.",['James Swallow'],2005-01-01,['Fiction'],
The Slim Fast Body Mind Life Makeover,A fourteen-day weight loss and fitness program combines the use of the Slim-Fast diet plan with more than seventy-five quickly prepared recipes,"['Lauren Hutton', 'Deborah Kotz']",2000,['Health & Fitness'],
"Hot Monogamy: Essential Steps to More Passionate, Intimate Lovemaking",Dr. Love's unique program shows how any couple can combine the security of a long-term relationship with the heat and passion of a new affair. Love provides exercises and specific advice to help the couple address each one's emotional as well as sexual needs.,"['Patricia Love', 'Jo Robinson']",1994,['Family & Relationships'],
The Sacred Cut,"A horrific murder pitches Nic Costa and his team into a collision with US agents – and a secret that has festered for fifteen years. The snow is falling on the ancient streets of Rome. And in the heart of the city, under the Pantheon's great dome, a woman's body lies on the marble floor, carefully positioned with a gruesome carving on her back. Arriving at the scene, Detective Nic Costa is unprepared for what he finds, nor for the intervention of US agents with a take-no-prisoners style and a shocking story to tell: the killer has struck before, in monuments all over the world, leaving the same cryptic message carved onto the bodies of the victims. As the murder leads to more grisly slayings and the team of veteran Roman cops clash with the Americans, Nic is pulled into a harrowing search for the truth...a search that will take him into a shocking conspiracy – and a dark episode in a nation's long-forgotten past.",['David Hewson'],2018-04-01,['Fiction'],9.0
Lives of Girls and Women,"WINNER OF THE NOBEL PRIZE® IN LITERATURE 2013 The only novel from Alice Munro-award-winning author of The Love of a Good Woman--is an insightful, honest book, ""autobiographical in form but not in fact,"" that chronicles a young girl's growing up in rural Ontario in the 1940's. Del Jordan lives out at the end of the Flats Road on her father's fox farm, where her most frequent companions are an eccentric bachelor family friend and her rough younger brother. When she begins spending more time in town, she is surrounded by women-her mother, an agnostic, opinionted woman who sells encyclopedias to local farmers; her mother's boarder, the lusty Fern Dogherty; and her best friend, Naomi, with whom she shares the frustrations and unbridled glee of adolescence. Through these unwitting mentors and in her own encounters with sex, birth, and death, Del explores the dark and bright sides of womanhood. All along she remains a wise, witty observer and recorder of truths in small-town life. The result is a powerful, moving, and humorous demonstration of Alice Munro's unparalleled awareness of the lives of girls and women.",['Alice Munro'],2011-12-21,['Fiction'],2.0
Ella,"A clever parody about a little girl living in a hipster hotel. This is ELLA. She is six years old. She lives at the Local Hotel. She has a nanny called Manny. He has tattoos for sleeves and he might go in with some guys to buy a grilled cheese truck. Sometimes Ella weaves purses out of Ziploc bags and reclaimed twine. (She is artsy of course.) She has a dog named Stacie and a fish named Rasta and a scooter which is important for getting everywhere she needs to be. Altogether she has been to 62 events including that Hillary Clinton fundraiser. She is NEVER bored. If Ella and Kay Thompson’s Eloise got together for a play date, they would have a very good time indeed.",['Mallory Kasdan'],2015-01-22,['Juvenile Fiction'],1.0
Collected Poems Of Robert Service,"For contents, see Author Catalog.",['Robert William Service'],1940,['Poetry'],
Where Rainbows End,"'Where Rainbows End' is a bittersweet tale of childhood friends Rosie and Alex whose relationship must survive many trials and tribulations, not least the discovery of their true feelings for one another.",['Cecelia Ahern'],2005,['Boston (Mass.)'],57.0
Applying Educational Research: A Practical Guide,,['Walter R. Borg'],1987,['Education'],
The Sultan's Seal: A Novel,"""A wonderful read…. An historical novel of the highest quality.""—Iain Pears Rich in sensuous detail, this first novel brilliantly captures the political and social upheavals of the waning Ottoman Empire. The naked body of a young Englishwoman washes up in Istanbul wearing a pendant inscribed with the seal of the deposed sultan. The death resembles the murder by strangulation of another English governess, a crime that was never solved. Kamil Pasha, a magistrate in the new secular courts, sets out to find the killer, but his dispassionate belief in science and modernity is shaken by betrayal and widening danger. In a lush, mystical voice, a young Muslim woman, Jaanan, recounts her own relationships with one of the dead women and her suspected killer. Were these political murders involving the palace or crimes of personal passion? An absorbing tale that transports the reader to nineteenth-century Turkey, this novel is also a lyrical meditation on the contradictory desires of the human soul. Reading group guide included. Includes the first chapter of the next Kamil Pasha novel.",['Jenny White'],2007-02-17,['Fiction'],9.0
Eyewitness: Russia,"Discover the fascinating cities and vast landscapes of the world's largest country - from stunning imperial palaces to remote lakes and soaring mountains - with the DK Eyewitness Travel Guide: Russia. Explore the cultural treasure troves of St Petersburg and Moscow, relax in the balmy seaside resort of Sochi, or venture further east to Siberia to discover the mysteries of Lake Baikal and marvel at the Valley of the Geysers in Kamchatka. DK Eyewitness Travel Guide: Russia includes fantastic photography and illustrations, full-colour maps, detailed reviews of all the main attractions, background information on Russia's history and culture, and reviews of the most authentic hotels, bars and restaurants to help you plan the perfect trip. Winner of the Top Guidebook Series in the Wanderlust Reader Travel Awards 2017.",['Dk Publishing'],2016-11,['Russia'],
There Must Be a Pony in Here Somewhere,"“AOL had found itself at the edge of disaster so frequently that one of its first executives, a brassy Vietnam veteran and restaurateur named Jim Kimsey, had taken the punch line of an old joke popularized by Ronald Reagan and made it into an unlikely mantra for the company. It concerned a very optimistic young boy who happened upon a huge pile of horse manure and began digging excitedly. When someone asked him what he was doing covered in muck, the foolish boy answered brightly, ‘There must be a pony in here somewhere!’” —From the Prologue If you’re wondering what happened after “a company without assets acquired a company without a clue,” as Kara Swisher wryly writes, it’s time to crack open this trenchant book about the doomed merger of America Online and Time Warner. On a quest to discover how the deal of the century became the messiest merger in history, Swisher delivers a rollicking narrative and a keen analysis of this debacle that is a must-read for anyone who wants to understand what it all means for the digital future. Packed with new revelations and on-the-record interviews with key players, it is the first detailed examination of the merger’s aftermath and also looks forward to what is coming next. It certainly has not been a pretty picture so far—with $100 billion in losses, a sinking stock price, employees in revolt, and lawsuits galore. As Swisher writes, “It is hard not to feel a bit queasy about the whole sorry mess. . . . It felt a bit like I was watching someone fall down a flight of stairs in slow motion, and every bump and thump made me wince. It made me reassess old ideas and wonder what I had gotten wrong. And it left me deeply confused as to what had happened and, more important, what was coming next.” For Swisher, finding the answers to what went awry is important because she remains a staunch believer in the digital future—maybe not in the AOL Time Warner merger, but in the essential idea at the heart of it that someday the distinction of old and new media will no longer exist. Borrowing from Winston Churchill, Swisher calls it “the end of the beginning” of the digital revolution. “By that, I mean that it is from the ashes of this bust that the really important companies of the next era will emerge. And that evolution will, I believe, be shaped by what happened—and what is happening now—at AOL Time Warner.” To figure it all out, Swisher takes her reader on a journey that begins with a portrait of two wildly different corporate cultures and businesses that somehow came to believe, in the crucible of the red-hot Internet era, that they could successfully join forces and achieve unprecedented growth and success. When the merger was announced in early 2000, the irresistible combination was hailed as the new paradigm and its executives—Steve Case, Jerry Levin, Bob Pittman—as popular icons of the future. But after the boom so spectacularly turned to bust and the visions of New Media Supremacy lay in ruins, Swisher searches for clues about where the merger went wrong and who is to blame. More important, she looks to the future of both AOL Time Warner and the Internet as she seeks to answer the key question that the noise of the disaster has all but drowned out. Will the demise of the AOL Time Warner merger be the final and inevitable chapter of the dot-com debacle or will it herald a new paradigm altogether? This book, then, is a primer for the time to come, using the story of the AOL Time Warner merger as the vehicle to show the troubled journey into the future.",['Kara Swisher'],2003-10-14,['Business & Economics'],
The Old Testament Speaks,"Here is a freshly updated edition of one of the most popular introductions to the history and literature of the Old Testament. The Old Testament Speaks offers a clear picture of the archaeological, geographical, historical, and linguistic dimensions of God's covenant with his people from the time of Abraham to the coming of the Messiah. The Old Testament Speaks examines the historical and religious life of the Hebrews, integrates the development of non-hebraic cultures with conventional biblical history, and reviews the best modern scholarly research in placing the Scriptures in their Near Eastern setting. Samuel J. Schultz emphasizes the importance of letting the Scriptures tell their own stories. He makes selective use of the best and latest literature in Old Testament studies, and offers a balanced perspective. Schultz sifts the facts and follows them to their inevitable conclusions. However, when the evidence is not definitive, he exercises caution, presenting his own interpretation as only one of several possible views. Schultz also appraises the impact of recent archaeological and historical findings on the understanding of key portions of the Old Testament. The Old Testament Speaks contains all the relevant material -- biblical and nonbiblical -- necessary for classroom use or personal study of the Old Testament. Schultz provides outlines that reflect the historical background and summarize the contents of each biblical book, as well as charts and maps to help visualize the biblical narrative. He has also revised and updated the biblio-graphies at the end of each chapter.",['Samuel J. Schultz'],1999-12-22,['Religion'],
"Sweet Dreams, Moon Baby: A Quilt to Make, a Story to Read","The author used her applique expertise to create the Moon Baby and its supporting cast of sweet block designs like Wee Babe, Sleepy Star, and Smiling Sun. The six dreamy baby projects include the Moon Baby quilt, Golden Slumbers wall hanging and a mobile.",['Elly Sienkiewicz'],2003,['Crafts & Hobbies'],
Poet's Guide: How to Publish and Perform Your Work (Story Line Press Writer's Guides),,,2001,"['Authors, American']",
Lassie Come-Home,Presents the classic tale about a prize collie's homeward journey after she is sold to a wealthy family because hard times befall her original owners. Reissue.,['Eric Knight'],2007-09-18,['Juvenile Fiction'],3.0
The Library Of Flute Classics (Library of Series),(Music Sales America). A compendium of classic solos for the flute. This expansive volume contains the great masterpieces of the world's foremost composers. Over 50 favorite flute solos with full piano accompaniment and a separate matching solo part for the flautist. Carefully selected to provide a lifetime of playing pleasure for every performer. Spiral bound.,['Hal Leonard Corp'],1999,['Music'],
The Otterbury Incident,"A reissue of a much-loved adventure which has stood the test of time and is as exciting today as when it was first published nearly 70 years ago. It all begins when Nick breaks the classroom window with his football, and the Headmaster says Nick has to pay for the damage. Nick has no more hope of raising the money than of going to the Moon, so that's when rivalling Ted's and Toppy's gangs decide to sign a truce and plan Operation Glazier to get the money for Nick. The plan goes smoothly and soon the money has been collected, but when it goes missing the boys turn detective to try and find the culprit.",['C. Day Lewis'],2017-07-06,['Juvenile Fiction'],1.0
A New Fear (Fear Street Sagas #1),"From the beloved and bestselling author of the Goosebumps series comes three haunting and terrifying Fear Street Saga novels—now available in one chilling paperback edition. Fear Street is cursed. It’s been that way for hundreds of years. Unspeakable horrors haunt those who’ve walked on its terrifying path. And it all started with one family—the Fears. Go back to how it all began and discover why the heir to the Fear name attempted to escape the family curse, how a young woman fell victim to the haunted Fear mansion, and why marrying into the Fear family means being trapped in a world of death and horror. And how Fear Street became the evil place it is today.",['R.L. Stine'],2016-12-20,['Juvenile Fiction'],
"Little women, or, Meg, Jo, Beth, and Amy","Little Women with a twist: four sisters from a blended family experience the challenges and triumphs of life in NYC in this beautiful full-color graphic novel perfect for fans of Roller Girl and Smile. Meg, Jo, Beth, and Amy are having a really tough year: with their father serving in the military overseas, they must work overtime to make ends meet...and each girl is struggling in her own way. Whether it's school woes, health issues, boy troubles, or simply feeling lost, the March sisters all need the same thing: support from each other. Only by coming together--and sharing lots of laughs and tears--will these four young women find the courage to discover who they truly are as individuals...and as a family. Meg is the eldest March, and she has a taste for the finer things in life. She dreams of marrying rich, enjoying fabulous clothes and parties, and leaving her five-floor walk-up apartment behind. Jo pushes her siblings to be true to themselves, yet feels like no one will accept her for who she truly is. Her passion for writing gives her an outlet to feel worthy in the eyes of her friends and family. Beth is the shy sister with a voice begging to be heard. But with a guitar in hand, she finds a courage that inspires her siblings to seize the day and not take life for granted. Amy may be the baby of the family, but she has the biggest personality. Though she loves to fight with her sisters, her tough exterior protects a vulnerable heart that worries about her family's future.",['Rey Terciero'],2019-02-05,['Juvenile Fiction'],6.0
"3D; Diet, Discipline and Discipleship (Individual Member's Kit)","The candid, moving count of how God led Carol Showalter to an understanding of why she ate as she did, and how he gave her concrete, positive steps to alter behavior patterns of a lifetime.",['Carol D. Showalter'],1998-02-01,,
The Shroud of Torrington,"David Paul enjoys his job as a program instructor for developmentally challenged adults. He gets along great with his coworkers, and he thrives on the challenge each day brings. But it's the special relationship with an elderly resident named Huey that David treasures most. After a new group home manager, Brad Ramsey, takes charge of Huey's residence, David begins to suspect the charismatic Brad is not all that he seems. Before long, David suspects that Brad is ritualistically torturing Huey. But how will he prove it? Frustrated with his inability to protect his vulnerable friend, David is further shocked when Huey mysteriously disappears. Both the police and David are baffled over the strange image left behind on Huey's bed linens. It bears a marked resemblance to the famous Shroud of Turin. Why was this modern duplicate to the Shroud of Turin created? As David digs deeper into the mystery, his journey takes him through danger and unrequited love, ultimately culminating in a battle between good and evil.",['Jeffrey J. Messenger'],2005,['Fiction'],
Knight in Shining Armor: Discovering Your Lifelong Love,"P.B. Wilson's Knight in Shining Armor (more than 150,000 copies sold) lets women know that if they desire true love, they need to prepare themselves mentally, physically, and emotionally...and God will bring their knight in shining armor to them. Readers will discover what they need to change and what should stay the same to make themselves attractive to godly men. Principles taught include— emotionally healthy women attract emotionally healthy men dating someone in hopes he'll change later is asking for trouble a potential knight's past reveals how he'll act in the future Practical and realistic, this book helps women break free from ineffective behaviors and attitudes to discover God's design for waiting, dating, and choosing a mate.",['P.B. Wilson'],2006-01-01,['Religion'],12.0
Born Beautiful: The African American Teenager's Complete Beauty Guide,"""When I read Born Beautiful, I thought ' finally, a beauty book that addresses the unique needs of black teens.' I highly recommend this book to all parents for their beautiful daughters."" -Terrie Williams, author Stay Strong: Simple Life Lessons for Teens Born Beautiful is the best! It's detailed and easy to follow! It gives great examples and real-life scenarios! Whether you are a ""natural-look-with-lip-gloss girl"" or a ""high-profile prima donna,"" this book is for you! If you want to know all about your skin type and how to care for it, which makeup colors are best for your skin tone and how to apply them, and how to wear and care for your hair, then you've got to read it! And wait until you check out the ""Teen Tips"" written by girls like you and the ""Special Stuff"" that will give you a winning edge! There is a great color chart to help you select your best cosmetic and fashion colors, and we put you to the test with Quizzes and ""Dos and Don'ts."" Born Beautiful will help you to understand and appreciate who you are -a beautiful African American teen. Born Beautiful was written specifically for you-the African American teenager. Never before have your specific grooming needs been addressed. You are a unique individual. Fornay's straightforwardness gives you up-to-date information about: * Daily Routines for Great Skin * Gorgeous Makeup from Day to Date * Chic Hairstyles & Care for Your Hair * Ten Steps to Fabulous Nails * Choosing the Right Colors for Your Best Look * Good Food for Fitness & Fortitude * Making Sense of Your Fragrance Choices * The ""411"" on Tattoos, Body Piercing & Other Fads * Beauty Tips from Your Favorite Celebs, Including Destiny's Child, Brandy, and Ananda Lewis",['Alfred Fornay'],2002-03-15,['Health & Fitness'],
Before the Bell,"This devotional book for teachers includes a devotional, scripture and prayer for each day of the school year.",['Vicki Caruana'],2006-07,['Education'],
